,State,County,President,Party
571,Georgia,Barrow,Donald Trump,R
572,Georgia,Bartow,Donald Trump,R
573,Georgia,Ben Hill,Donald Trump,R
574,Georgia,Berrien,Donald Trump,R
575,Georgia,Bibb,Kamala Harris,D
576,Georgia,Bleckley,Donald Trump,R
577,Georgia,Brantley,Donald Trump,R
578,Georgia,Brooks,Donald Trump,R
579,Georgia,Bryan,Donald Trump,R
580,Georgia,Bulloch,Donald Trump,R
581,Georgia,Burke,Donald Trump,R
582,Georgia,Butts,Donald Trump,R
583,Georgia,Calhoun,Kamala Harris,D
584,Georgia,Camden,Donald Trump,R
585,Georgia,Candler,Donald Trump,R
586,Georgia,Carroll,Donald Trump,R
587,Georgia,Catoosa,Donald Trump,R
588,Georgia,Charlton,Donald Trump,R
589,Georgia,Chatham,Kamala Harris,D
590,Georgia,Chattahoochee,Donald Trump,R
591,Georgia,Chattooga,Donald Trump,R
592,Georgia,Cherokee,Donald Trump,R
593,Georgia,Clarke,Kamala Harris,D
594,Georgia,Clay,Kamala Harris,D
595,Georgia,Clayton,Kamala Harris,D
596,Georgia,Clinch,Donald Trump,R
597,Georgia,Cobb,Kamala Harris,D
598,Georgia,Coffee,Donald Trump,R
599,Georgia,Colquitt,Donald Trump,R
600,Georgia,Columbia,Donald Trump,R
601,Georgia,Cook,Donald Trump,R
602,Georgia,Coweta,Donald Trump,R
603,Georgia,Crawford,Donald Trump,R
604,Georgia,Crisp,Donald Trump,R
605,Georgia,Dade,Donald Trump,R
606,Georgia,Dawson,Donald Trump,R
607,Georgia,Decatur,Donald Trump,R
608,Georgia,DeKalb,Kamala Harris,D
609,Georgia,Dodge,Donald Trump,R
610,Georgia,Dooly,Donald Trump,R
611,Georgia,Dougherty,Kamala Harris,D
612,Georgia,Douglas,Kamala Harris,D
613,Georgia,Early,Donald Trump,R
614,Georgia,Echols,Donald Trump,R
615,Georgia,Effingham,Donald Trump,R
616,Georgia,Elbert,Donald Trump,R
617,Georgia,Emanuel,Donald Trump,R
618,Georgia,Evans,Donald Trump,R
619,Georgia,Fannin,Donald Trump,R
620,Georgia,Fayette,Donald Trump,R
621,Georgia,Floyd,Donald Trump,R
622,Georgia,Forsyth,Donald Trump,R
623,Georgia,Franklin,Donald Trump,R
624,Georgia,Fulton,Kamala Harris,D
625,Georgia,Gilmer,Donald Trump,R
626,Georgia,Glascock,Donald Trump,R
627,Georgia,Glynn,Donald Trump,R
